year,Winner,Loser,Kills,Deaths
2018,Bazooka,AltoInferno,29,11
2018,Bazooka,AltoInferno,27,14
2018,Bazooka,BW,20,17
2018,Bazooka,DivisionByZero,41,33
2018,Bazooka,DivisionByZero,34,8
2018,Bazooka,DivisionByZero,48,28
2018,Bazooka,HyperVivify,23,15
2018,Bazooka,Janne,46,40
2018,Janne,Bazooka,62,39
2018,DivisionByZero,BW,4,4
2018,DivisionByZero,BW,11,8
2018,HyperVivify,DivisionByZero,42,17
2018,Bazooka,KingFuryKiller,21,15
2018,Bazooka,KingFuryKiller,143,114
2018,KingFuryKiller,BW,13,12
2018,BW,KingFuryKiller,17,15
2018,KingFuryKiller,DivisionByZero,34,17
2018,DivisionByZero,KingFuryKiller,36,11
2018,DivisionByZero,KingFuryKiller,57,41
2018,DivisionByZero,KingFuryKiller,66,48
2018,KingFuryKiller,GrizzlyOne95,33,11
2018,GrizzlyOne95,KingFuryKiller,14,10
2018,Janne,KingFuryKiller,37,21
2019,DivisionByZero,BW,24,9
2019,DivisionByZero,BW,25,5
2019,DivisionByZero,Ruther,27,9
2019,DivisionByZero,Ruther,35,9
2019,Janne,DivisionByZero,102,45
2019,DivisionByZero,Janne,11,4
2019,DivisionByZero,Bzone Lord,13,2
2019,DivisionByZero,Bzone Lord,55,30
2019,Ruther,Bzone Lord,24,21
2019,Bzone Lord,Ruther,19,4
2019,HyperVivify,DivisionByZero,25,10
2019,HyperVivify,DivisionByZero,33,12
2019,Bzone Lord,Janne,29,22
2019,Janne,Bzone Lord,32,30
2019,DivisionByZero,Cygnus X-1,20,8
2019,DivisionByZero,Cygnus X-1,15,20
2019,Bzone Lord,Cygnus X-1,22,13
2019,Cygnus X-1,Bzone Lord,16,4
2019,Bzone Lord,BW,20,7
2019,Bzone Lord,BW,7,9
2019,DivisionByZero,ZAID,95,35
2019,DivisionByZero,ZAID,13,5
2019,Cygnus X-1,Ruther,37,21
2019,HyperVivify,Janne,28,16
2019,HyperVivify,Janne,54,42
2019,HyperVivify,Janne,27,9
2019,HyperVivify,Janne,22,11
2019,Ruther,Cygnus X-1,24,22
2019,Cygnus X-1,BW,26,18
2019,Cygnus X-1,BW,27,17
2019,HyperVivify,BW,13,4
2019,HyperVivify,BW,8,1
2019,ZAID,BW,23,18
2019,HyperVivify,BW,11,9
2019,HyperVivify,Cygnus X-1,11,9
2019,Cygnus X-1,HyperVivify,5,5
2019,Ruther,Cygnus X-1,50,60
2019,Ruther,Cygnus X-1,29,49
2019,HyperVivify,Bzone Lord,21,1
2019,HyperVivify,Cygnus X-1,11,1
2019,HyperVivify,Cygnus X-1,15,7
2019,HyperVivify,Janne,49,16
2019,HyperVivify,Bzone Lord,12,1
2019,HyperVivify,ZAID,44,19
2019,HyperVivify,ZAID,46,31
2019,Janne,Cygnus X-1,28,17
2019,Janne,Cygnus X-1,24,11
2019,Janne,DivisionByZero,17,18
2019,Janne,DivisionByZero,14,10
2019,Janne,Ruther,39,28
2019,Janne,Ruther,14,3
2019,Ruther,Janne,34,46
2019,Janne,Ruther,31,14
2019,KingFuryKiller,BW,23,27
2019,KingFuryKiller,BW,19,8
2019,Bzone Lord,KingFuryKiller,27,10
2019,KingFuryKiller,Cygnus X-1,35,33
2019,KingFuryKiller,Cygnus X-1,7,17
2019,Cygnus X-1,KingFuryKiller,18,6
2019,KingFuryKiller,Cygnus X-1,26,17
2019,DivisionByZero,KingFuryKiller,49,38
2019,HyperVivify,KingFuryKiller,23,2
2019,KingFuryKiller,HyperVivify,33,26
2019,KingFuryKiller,Janne,42,39
2019,Janne,KingFuryKiller,40,3
2019,KingFuryKiller,Ruther,59,17
2019,KingFuryKiller,Ruther,16,3
2019,Ruther,BW,36,22
2019,BW,Ruther,14,4
2019,HyperVivify,Ruther,9,12
2019,HyperVivify,Ruther,41,37
2019,ZAID,Ruther,20,8
2019,Ruther,ZAID,44,39
2019,ZAID,HyperVivify,28,33
2019,ZAID,HyperVivify,13,21
2019,Ruther,Janne,27,36
